LGUs,Category,LGU Score Percentage,Province,Revenue
Alicia (BL),Fourth Class Municipality,0.01,Bohol,12968515.61
Alicia (IA),First Class Municipality,0.035,Isabela,88518317.35
Alicia (ZS),Third Class Municipality,0.034,Zamboanga Sibugay,4491807.85
Alilem,Fourth Class Municipality,0.011,Ilocos Sur,211681681.9
Alimodian,Third Class Municipality,0.013,Iloilo Province,12873271.26
Alitagtag,Fourth Class Municipality,0.005,Batangas Province,16220331.44
Allacapan,Third Class Municipality,0.024,Cagayan,27492126
Allen,Fifth Class Municipality,0.103,Northern Samar,148299647.4
Almagro,Fifth Class Municipality,0.006,Samar (Western Samar),546832.63
Almeria,Fifth Class Municipality,0.136,Biliran Province,122299267.9
Aloguinsan,Fourth Class Municipality,0.006,Cebu Province,9096722.78
Aloran,Fourth Class Municipality,0.029,Misamis Occidental,16557680.6
Altavas,Fourth Class Municipality,0.055,Aklan,163356025.3
Alubijid,Fourth Class Municipality,0.021,Misamis Oriental,27092474.39
Amadeo,Fourth Class Municipality,0.006,Cavite,21706496.81
Amai Manabilang,Third Class Municipality,0.014,Lanao Del Sur,4816253.71
Ambaguio,Fifth Class Municipality,0.018,Nueva Vizcaya,2017000
Amlan,Fourth Class Municipality,0.04,Negros Oriental,167185704.6
Ampatuan,Fourth Class Municipality,0.009,Maguindanao,1339558.21
Amulung,Second Class Municipality,0.024,Cagayan,14300956.42
Anahawan,Fifth Class Municipality,0.01,Southern Leyte,0
Anao,Fifth Class Municipality,0.005,Tarlac Province,18998728.09
Anda (BL),Fifth Class Municipality,0.02,Bohol,134543230.5
Anda (PS),Third Class Municipality,0.007,Pangasinan,34423230.2
Angadanan,Third Class Municipality,0.017,Isabela,24597206.33
Angat,First Class Municipality,0.019,Bulacan,317795275.2
Angono,First Class Municipality,0.037,Rizal,591473256.9
Anilao,Fourth Class Municipality,0.01,Iloilo Province,11385861.21
Anini-Y,Fourth Class Municipality,0.06,Antique,140830646.5
Antequera,Fourth Class Municipality,0.007,Bohol,11617079.83
Antipas,Second Class Municipality,0.031,Cotabato (North Cotabato),316965615.8
Antipolo,Component City,0.31,Rizal,5335123282
Apalit,First Class Municipality,0.029,Pampanga,84658089.65
Aparri,First Class Municipality,0.043,Cagayan,48349223.21
Araceli,Fourth Class Municipality,0.009,Palawan,0
Arakan,Second Class Municipality,0.044,Cotabato (North Cotabato),388314538.3
Arayat,First Class Municipality,0.032,Pampanga,42372720
Argao,First Class Municipality,0.015,Cebu Province,37689366.63
Aringay,Second Class Municipality,0.061,La Union,349019780.4
Aritao,Second Class Municipality,0.207,Nueva Vizcaya,298614103.6
Aroroy,First Class Municipality,0.258,Masbate Province,849400092.8
Arteche,Third Class Municipality,0.018,Eastern Samar,3805495.43
Asingan,Second Class Municipality,0.01,Pangasinan,27869434.73
Asipulo,Fifth Class Municipality,0.039,Ifugao,2941842.76
Asturias,Third Class Municipality,0.01,Cebu Province,36292833.05
Asuncion,First Class Municipality,0.071,Davao Del Norte,318872565.4
Atimonan,First Class Municipality,0.033,Quezon,352460694.9
Atok,Fourth Class Municipality,0.069,Benguet,167471715.4
Aurora (IA),Third Class Municipality,0.102,Isabela,575669733.2
Aurora (ZR),Second Class Municipality,0.06,Zamboanga Del Sur,219326537
Ayungon,Second Class Municipality,0.019,Negros Oriental,11181483.29
Baao,Third Class Municipality,0.042,Camarines Sur,259114095.4
Babatngon,Fourth Class Municipality,0.009,Leyte Province,10135585.85
Bacacay,Second Class Municipality,0.059,Albay,423982446.6
Bacarra,Third Class Municipality,0.041,Ilocos Norte,195566854.4
Baclayon,Fourth Class Municipality,0.012,Bohol,33852934.87
Bacnotan,First Class Municipality,0.06,La Union,384503775.7
Baco,Third Class Municipality,0.023,Oriental Mindoro,14689999.06
Bacolod (LN),Fourth Class Municipality,0.02,Lanao Del Norte,14469734.75
Bacolod-Kalawi,Third Class Municipality,0.011,Lanao Del Sur,547080.87
Bacolor,Third Class Municipality,0.03,Pampanga,356177709.1
Bacong,Fourth Class Municipality,0.021,Negros Oriental,39969261.41
Bacoor,Component City,0.153,Cavite,3036774027
Bacuag,Fifth Class Municipality,0.014,Surigao Del Norte,3802860.59
Bacungan Leon B. Postigo,Fourth Class Municipality,0.014,Zamboanga Del Norte,1860304.78
Badian,Third Class Municipality,0.007,Cebu Province,16021418.3
Badiangan,Fourth Class Municipality,0.008,Iloilo Province,6218579.11
Badoc,Third Class Municipality,0.068,Ilocos Norte,549783874.8
Bagabag,Second Class Municipality,0.06,Nueva Vizcaya,39554528
Bagac,Third Class Municipality,0.041,Bataan,227765079.8
Bagamanoc,Fifth Class Municipality,0.099,Catanduanes,109557960.3
Baganga,First Class Municipality,0.065,Davao Oriental,17731801.5
Baggao,First Class Municipality,0.048,Cagayan,41699568.04
Bago,Component City,0.128,Negros Occidental,1555596557
Bagulin,Fifth Class Municipality,0.022,La Union,154439375.9
Bagumbayan,First Class Municipality,0.085,Sultan Kudarat,430728379.1
Bais,Component City,0.041,Negros Oriental,73442602.63
Bakun,Third Class Municipality,0.02,Benguet,8541888.45
Balabac,Second Class Municipality,0.024,Palawan,4014749
Balabagan,Fourth Class Municipality,0.014,Lanao Del Sur,1006372.55
Balagtas,First Class Municipality,0.023,Bulacan,405678855.8
Balamban,First Class Municipality,0.021,Cebu Province,101691384.6
Balanga,Component City,0.182,Bataan,1228295144
Balangiga,Fourth Class Municipality,0.039,Eastern Samar,150532755.4
Balangkayan,Fifth Class Municipality,0.012,Eastern Samar,5233962.57
Balaoan,First Class Municipality,0.076,La Union,595083515.8
Balasan,Fourth Class Municipality,0.016,Iloilo Province,29062508.25
Balatan,Fourth Class Municipality,0.008,Camarines Sur,6874094.42
Balayan,First Class Municipality,0.029,Batangas Province,472963118
Balbalan,Third Class Municipality,0.044,Kalinga,3292651.83
Baleno,Fourth Class Municipality,0.016,Masbate Province,5884766.46
Baler,Third Class Municipality,0.128,Aurora,52612135.42
Balete (AK),Fourth Class Municipality,0.027,Aklan,14151649.78
Balete (BS),Fifth Class Municipality,0.007,Batangas Province,132970346.6
Baliangao,Fifth Class Municipality,0.014,Misamis Occidental,1612282.63
Baliguian,Third Class Municipality,0.044,Zamboanga Del Norte,236355265.1
Balilihan,Fourth Class Municipality,0.008,Bohol,15494432.19
Balindong,Fourth Class Municipality,0.014,Lanao Del Sur,410804.8
Balingasag,Second Class Municipality,0.042,Misamis Oriental,67558942.35
Balingoan,Fifth Class Municipality,0.016,Misamis Oriental,92616610.95
Baliwag,Component City,0.051,Bulacan,867507212.1
Ballesteros,Fourth Class Municipality,0.019,Cagayan,15597120.06
Baloi,Third Class Municipality,0.046,Lanao Del Norte,16200000
Balud,Fourth Class Municipality,0.023,Masbate Province,9380290.26
Balungao,Fourth Class Municipality,0.011,Pangasinan,189684872.3
Bamban,Second Class Municipality,0.028,Tarlac Province,40986059.24
Bambang,First Class Municipality,0.104,Nueva Vizcaya,85553054.04
Banate,Fourth Class Municipality,0.01,Iloilo Province,9303961.62
Banaue,Fourth Class Municipality,0.132,Ifugao,168824626.8
Banaybanay,Second Class Municipality,0.059,Davao Oriental,21694210.51
Banayoyo,Fourth Class Municipality,0.016,Ilocos Sur,320780544.6
Banga (AK),Third Class Municipality,0.074,Aklan,197988978.8
Banga (SC),First Class Municipality,0.076,South Cotabato,398001761.8
Bangar,Third Class Municipality,0.047,La Union,279813223.5
Bangued,First Class Municipality,0.146,Abra,307072486.7
Bangui,Fourth Class Municipality,0.028,Ilocos Norte,218300016.9
Bani,Second Class Municipality,0.017,Pangasinan,267102286.8
Banisilan,Second Class Municipality,0.018,Cotabato (North Cotabato),33948881.43
Banna,Fourth Class Municipality,0.039,Ilocos Norte,303060768.2
Bansalan,First Class Municipality,0.059,Davao Del Sur,45004961.85
Bansud,Second Class Municipality,0.024,Oriental Mindoro,267591123.6
Bantay,Third Class Municipality,0.032,Ilocos Sur,195391547
Bantayan Island,First Class Municipality,0.036,Cebu Province,370056506.8
Banton,Fifth Class Municipality,0.012,Romblon Province,2229708.76
Baras (CT),Fifth Class Municipality,0.026,Catanduanes,2990970.69
Baras (RL),Fourth Class Municipality,0.025,Rizal,354566963.7
Barbaza,Fourth Class Municipality,0.021,Antique,7304789
Barcelona,Fifth Class Municipality,0.016,Sorsogon Province,6447372.18
Barili,Second Class Municipality,0.015,Cebu Province,36052351.44
Barira,Fourth Class Municipality,0.011,Maguindanao,825657.29
Barlig,Fifth Class Municipality,0.069,Mountain Province,131140460.2
Barobo,Third Class Municipality,0.054,Surigao Del Sur,15980687.65
Barotac Nuevo,Second Class Municipality,0.024,Iloilo Province,38166155.6
Barotac Viejo,Third Class Municipality,0.016,Iloilo Province,17169836.53
Baroy,Fourth Class Municipality,0.018,Lanao Del Norte,7759339.29
Barugo,Fourth Class Municipality,0.011,Leyte Province,10610505.61
Basay,Fourth Class Municipality,0.011,Negros Oriental,8105740.82
Basco,Fifth Class Municipality,0.362,Batanes,24064316.06
Basey,First Class Municipality,0.038,Samar (Western Samar),8650596.89
Basilisa,Fourth Class Municipality,0.151,Dinagat Islands,7178246.56
Basista,Fourth Class Municipality,0.007,Pangasinan,13965127.44
Basud (CN),Third Class Municipality,0.043,Camarines Norte,9911763.48
Batac,Component City,0.133,Ilocos Norte,1172598595
Batad,Fifth Class Municipality,0.007,Iloilo Province,6972242
Batan,Fourth Class Municipality,0.03,Aklan,11950158.49
Batangas,Component City,0.176,Batangas Province,4537250727
Bataraza,First Class Municipality,0.058,Palawan,94650000
Bato (CS),Third Class Municipality,0.014,Camarines Sur,10795938.39
Bato (CT),Fifth Class Municipality,0.043,Catanduanes,4163702.93
Bato (LE),Fourth Class Municipality,0.015,Leyte Province,28984767.67
Batuan (BL),Fifth Class Municipality,0.015,Bohol,102851713
Batuan (MS),Fifth Class Municipality,0.009,Masbate Province,3105870.6
Bauan,First Class Municipality,0.028,Batangas Province,489199869.8
Bauang,First Class Municipality,0.1,La Union,612219326.8
Bauko,Fourth Class Municipality,0.209,Mountain Province,264277742.5
Baungon,Second Class Municipality,0.016,Bukidnon,20842574.97
Bautista,Fourth Class Municipality,0.006,Pangasinan,8299336.38
Bay,Second Class Municipality,0.011,Laguna,58278249.65
Bayabas,Fifth Class Municipality,0.013,Surigao Del Sur,7765297.66
Bayambang,First Class Municipality,0.04,Pangasinan,600936758.9
Bayang,Fifth Class Municipality,0.012,Lanao Del Sur,0
Bayawan,Component City,0.066,Negros Oriental,114422033.2
Baybay,Component City,0.057,Leyte Province,189296364.3
Bayog,Third Class Municipality,0.027,Zamboanga Del Sur,64352012
Bayombong,First Class Municipality,0.103,Nueva Vizcaya,67978306.81
Bayugan,Component City,0.348,Agusan Del Sur,1739583353
Belison,Fifth Class Municipality,0.013,Antique,7081874.01
Benito Soliven,Fourth Class Municipality,0.011,Isabela,12427864.2
Besao,Fifth Class Municipality,0.023,Mountain Province,2381544.45
Bien Unido,Fourth Class Municipality,0.012,Bohol,13975390.85
Bilar,Fourth Class Municipality,0.008,Bohol,9952481.18
Biliran,Fifth Class Municipality,0.051,Biliran Province,1955152.22
Binalbagan,First Class Municipality,0.016,Negros Occidental,55292563.14
Binalonan,First Class Municipality,0.021,Pangasinan,394696001.8
Binan,Component City,0.091,Laguna,1550591187
Binangonan,First Class Municipality,0.087,Rizal,1174209298
Bindoy,Third Class Municipality,0.018,Negros Oriental,18474334.16
Bingawan,Fifth Class Municipality,0.005,Iloilo Province,5479026.78
Binidayan,Fourth Class Municipality,0.012,Lanao Del Sur,634897.48
Binmaley,First Class Municipality,0.025,Pangasinan,352860842.5
Binuangan,Sixth Class Municipality,0.005,Misamis Oriental,5805200.69
Biri,Fifth Class Municipality,0.01,Northern Samar,1595799.05
Bislig,Component City,0.163,Surigao Del Sur,112810935.7
Boac,First Class Municipality,0.295,Marinduque,311612065.5
Bobon,Fourth Class Municipality,0.025,Northern Samar,5246835.76
Bocaue,First Class Municipality,0.04,Bulacan,664442507.4
Bogo,Component City,0.022,Cebu Province,129423902.9
Bokod,Fourth Class Municipality,0.025,Benguet,32481271.08
Bolinao,First Class Municipality,0.028,Pangasinan,418493605.2
Boliney,Fifth Class Municipality,0.024,Abra,107855576
Boljoon,Fifth Class Municipality,0.003,Cebu Province,11417177.25
Bombon,Fifth Class Municipality,0.004,Camarines Sur,2347674.86
Bongabon,Second Class Municipality,0.018,Nueva Ecija,33482981.2
Bongabong,First Class Municipality,0.537,Oriental Mindoro,314582582528
Bongao,Second Class Municipality,0.162,Tawi-Tawi,23563040.92
Bonifacio,Fourth Class Municipality,0.033,Misamis Occidental,17399347.93
Bontoc (MP),Second Class Municipality,0.184,Mountain Province,253474671.5
Bontoc (SL),Fourth Class Municipality,0.039,Southern Leyte,8918801.49
Borbon,Fourth Class Municipality,0.007,Cebu Province,4576952.44
Borongan,Component City,0.078,Eastern Samar,42348221.12
Boston,Third Class Municipality,0.015,Davao Oriental,2536582.79
Botolan,First Class Municipality,0.136,Zambales,494215391.2
Braulio E. Dujali,Fourth Class Municipality,0.041,Davao Del Norte,186429971.3
Brooke's Point,First Class Municipality,0.05,Palawan,76906221.79
Buadiposo-Buntong,Fourth Class Municipality,0.008,Lanao Del Sur,235000
Bubong,Second Class Municipality,0.011,Lanao Del Sur,0
Bucay,Fifth Class Municipality,0.055,Abra,131332497
Bucloc,Sixth Class Municipality,0.017,Abra,78792600.11
Buenavista (AN),First Class Municipality,0.131,Agusan Del Norte,41314392.85
Buenavista (BL),Fourth Class Municipality,0.026,Bohol,163363371.9
Buenavista (GS),Second Class Municipality,0.294,Guimaras,245209516.2
Buenavista (ME),Fourth Class Municipality,0.056,Marinduque,7968835.59
Buenavista (QN),Fourth Class Municipality,0.016,Quezon,189065561.1
Bugallon,Second Class Municipality,0.022,Pangasinan,323787487.4
Bugasong,Third Class Municipality,0.034,Antique,22768370.63
Buguey,Third Class Municipality,0.019,Cagayan,20618062.16
Buguias,Third Class Municipality,0.053,Benguet,16664710.56
Buhi,First Class Municipality,0.021,Camarines Sur,14335882.5
Bula,Second Class Municipality,0.02,Camarines Sur,27228449.06
Bulakan,First Class Municipality,0.024,Bulacan,406057913.6
Bulalacao,Third Class Municipality,0.023,Oriental Mindoro,10778308.63
Bulan,First Class Municipality,0.083,Sorsogon Province,60704015.26
Buldon,Fourth Class Municipality,0.012,Maguindanao,1027973.9
Buluan,Fourth Class Municipality,0.019,Maguindanao,15313582
Bulusan,Fourth Class Municipality,0.018,Sorsogon Province,13909003.99
Bunawan,First Class Municipality,0.053,Agusan Del Sur,116039662
Burauen,First Class Municipality,0.051,Leyte Province,261399935.8
Burdeos,Fourth Class Municipality,0.007,Quezon,2355905.26
Burgos (IA),Fourth Class Municipality,0.012,Isabela,22011286.97
Burgos (IN),Fifth Class Municipality,0.024,Ilocos Norte,201507881.6
Burgos (IS),Fourth Class Municipality,0.028,Ilocos Sur,621592467.8
Burgos (LU),Fifth Class Municipality,0.016,La Union,126777821.6
Burgos (PS),Fourth Class Municipality,0.004,Pangasinan,6608967.6
Burgos (SN),Sixth Class Municipality,0.015,Surigao Del Norte,70866209.22
Buruanga,Fifth Class Municipality,0.045,Aklan,141747406.6
Bustos,Second Class Municipality,0.021,Bulacan,323330408.7
Busuanga,Third Class Municipality,0.015,Palawan,13509642.46
Butig,Sixth Class Municipality,0.012,Lanao Del Sur,1460000
Buug,Third Class Municipality,0.04,Zamboanga Sibugay,12569986
Caba,Fourth Class Municipality,0.033,La Union,225848422.8
Cabadbaran,Component City,0.189,Agusan Del Norte,84332057.98
Cabagan,First Class Municipality,0.02,Isabela,23557652.6
Cabanatuan,Component City,0.102,Nueva Ecija,388034811.6
Cabangan,Fourth Class Municipality,0.023,Zambales,6728287.32
Cabanglasan,Third Class Municipality,0.016,Bukidnon,10132528.54
Cabarroguis,Third Class Municipality,0.214,Quirino,38257082.82
Cabatuan (IA),Third Class Municipality,0.053,Isabela,258708206.5
Cabatuan (IO),Second Class Municipality,0.025,Iloilo Province,38166155.6
Cabiao,First Class Municipality,0.022,Nueva Ecija,31036565.69
Cabucgayan,Fifth Class Municipality,0.169,Biliran Province,155472841.8
Cabugao,First Class Municipality,0.063,Ilocos Sur,1166158804
Cabusao,Fifth Class Municipality,0.005,Camarines Sur,3879903.95
Cabuyao,Component City,0.128,Laguna,2842920693
Cadiz,Component City,0.05,Negros Occidental,328143487.5
Cagayancillo,Sixth Class Municipality,0.016,Palawan,82636416.27
Cagdianao,Third Class Municipality,0.461,Dinagat Islands,324208572.5
Cagwait,Fourth Class Municipality,0.039,Surigao Del Sur,29524118.07
Caibiran,Fifth Class Municipality,0.072,Biliran Province,7255855.16
Cainta,First Class Municipality,0.117,Rizal,1826272630
Cajidiocan,Fourth Class Municipality,0.045,Romblon Province,5156038.65
Calabanga,First Class Municipality,0.025,Camarines Sur,26968828.51
Calaca,Component City,0.037,Batangas Province,890504264.4
Calamba (LA),Component City,0.131,Laguna,2357361816
Calamba (MC),Fourth Class Municipality,0.035,Misamis Occidental,40179445.55
Calanasan,First Class Municipality,0.372,Apayao,439610023.8
Calanogas,Fifth Class Municipality,0.009,Lanao Del Sur,1250370.42
Calapan,Component City,0.081,Oriental Mindoro,1387586581
Calape,Third Class Municipality,0.031,Bohol,192152729.4
Calasiao,First Class Municipality,0.029,Pangasinan,427398559.2
Calatagan,Second Class Municipality,0.019,Batangas Province,324565670
Calatrava (NO),First Class Municipality,0.017,Negros Occidental,14777840.59
Calatrava (RN),Fifth Class Municipality,0.023,Romblon Province,3128291.64
Calauag,First Class Municipality,0.032,Quezon,321745927.9
Calauan,Second Class Municipality,0.022,Laguna,342728012.3
Calayan,Third Class Municipality,0.011,Cagayan,12446326
Calbayog,Component City,0.16,Samar (Western Samar),131330374.9
Calbiga,Fourth Class Municipality,0.016,Samar (Western Samar),3529252.2
Calinog,First Class Municipality,0.027,Iloilo Province,45349867.38
Calintaan,Third Class Municipality,0.036,Occidental Mindoro,16943529.41
Calubian,Fourth Class Municipality,0.009,Leyte Province,4057658.91
Calumpit,First Class Municipality,0.018,Bulacan,74279455.04
Caluya,First Class Municipality,0.069,Antique,90768817.72
Camalaniugan,Fourth Class Municipality,0.019,Cagayan,26153636.72
Camalig,First Class Municipality,0.049,Albay,311729016.4
Camaligan,Fifth Class Municipality,0.019,Camarines Sur,126746661.6
Camiling,First Class Municipality,0.054,Tarlac Province,315713904.3
Can-Avid,Fourth Class Municipality,0.371,Eastern Samar,2077339052
Canaman,Fourth Class Municipality,0.026,Camarines Sur,165227043.1
Candaba,First Class Municipality,0.026,Pampanga,18846708.45
Candelaria (QN),First Class Municipality,0.059,Quezon,551658978.6
Candelaria (ZA),Third Class Municipality,0.03,Zambales,38787829.3
Candijay,Fourth Class Municipality,0.012,Bohol,3571754.49
Candon,Component City,0.101,Ilocos Sur,1846829673
Candoni,Fourth Class Municipality,0.005,Negros Occidental,6859510
Canlaon,Component City,0.03,Negros Oriental,43705955.66
Cantilan,Second Class Municipality,0.082,Surigao Del Sur,73027955.07
Caoayan,Fourth Class Municipality,0.02,Ilocos Sur,198958536.1
Capalonga,Third Class Municipality,0.143,Camarines Norte,232682039.2
Capas,First Class Municipality,0.066,Tarlac Province,212325466.8
Capoocan,Fourth Class Municipality,0.037,Leyte Province,197113797.3
Capul,Fifth Class Municipality,0.011,Northern Samar,1708128.57
Caraga,First Class Municipality,0.04,Davao Oriental,5016372.25
Caramoan,Second Class Municipality,0.02,Camarines Sur,28502539.61
Caramoran,Third Class Municipality,0.212,Catanduanes,214282188.9
Carasi,Fifth Class Municipality,0.008,Ilocos Norte,93540369.14
Carcar,Component City,0.087,Cebu Province,1010822616
Cardona,Third Class Municipality,0.015,Rizal,217493547.4
Carigara,Second Class Municipality,0.018,Leyte Province,15669010.89
Carles,Second Class Municipality,0.022,Iloilo Province,17575448.3
Carmen (AN),Fourth Class Municipality,0.037,Agusan Del Norte,9842853.47
Carmen (BL),Second Class Municipality,0.051,Bohol,342137177
Carmen (CU),Third Class Municipality,0.012,Cebu Province,48375389.04
Carmen (DN),First Class Municipality,0.047,Davao Del Norte,74689173.9
Carmen (NC),First Class Municipality,0.082,Cotabato (North Cotabato),688852586.5
Carmen (SS),Fifth Class Municipality,0.017,Surigao Del Sur,9799095.86
Carmona,First Class Municipality,0.04,Cavite,1133964015
Carranglan,First Class Municipality,0.01,Nueva Ecija,10903456.46
Carrascal,Fourth Class Municipality,0.147,Surigao Del Sur,167038626.9
Casiguran (AU),Second Class Municipality,0.276,Aurora,328835709
Casiguran (SO),Fourth Class Municipality,0.083,Sorsogon Province,187285785
Castilla,Third Class Municipality,0.128,Sorsogon Province,277305891.1
Castillejos,Third Class Municipality,0.103,Zambales,295960051.7
Cataingan,Second Class Municipality,0.095,Masbate Province,269307676.3
Catanauan,First Class Municipality,0.034,Quezon,343799557
Catarman (CM),Fifth Class Municipality,0.114,Camiguin,9343282.43
Catarman (NS),First Class Municipality,0.126,Northern Samar,95568269.34
Catbalogan,Component City,0.406,Samar (Western Samar),1123654955
Cateel,Second Class Municipality,0.05,Davao Oriental,12850741.6
Catigbian,Fourth Class Municipality,0.034,Bohol,247989956.8
Catmon,Fourth Class Municipality,0.005,Cebu Province,9384478.3
Catubig,Third Class Municipality,0.212,Northern Samar,332133917.1
Cauayan (IA),Component City,0.09,Isabela,309322316.2
Cauayan (NO),First Class Municipality,0.02,Negros Occidental,9146154.53
Cavinti,Third Class Municipality,0.009,Laguna,195172948.3
Cavite,Component City,0.016,Cavite,164306615
Cawayan,Second Class Municipality,0.045,Masbate Province,26666621.72
Cervantes,Fourth Class Municipality,0.023,Ilocos Sur,275202445.2
Clarin (BL),Fifth Class Municipality,0.009,Bohol,7197905.03
Clarin (MC),Fourth Class Municipality,0.044,Misamis Occidental,30065422.43
Claver,Second Class Municipality,0.227,Surigao Del Norte,1253715648
Claveria (CG),Third Class Municipality,0.019,Cagayan,20020926.5
Claveria (MO),First Class Municipality,0.034,Misamis Oriental,42507758.99
Claveria (MS),Third Class Municipality,0.025,Masbate Province,4018534.77
Columbio,First Class Municipality,0.062,Sultan Kudarat,407468709.5
Compostela (CU),Third Class Municipality,0.011,Cebu Province,49501768.63
Compostela (DDO),First Class Municipality,0.116,Davao De Oro,332852312.2
Concepcion,Sixth Class Municipality,0.047,Misamis Occidental,95849197.28
Concepcion (IO),Third Class Municipality,0.027,Iloilo Province,62100889.06
Concepcion (RN),Sixth Class Municipality,0.009,Romblon Province,1908733.55
Concepcion (TC),First Class Municipality,0.107,Tarlac Province,638927681.5
Conner,Second Class Municipality,0.117,Apayao,11580832.89
Consolacion,First Class Municipality,0.069,Cebu Province,698912690.5
Corcuera,Fifth Class Municipality,0.122,Romblon Province,92401060.11
Cordon,Third Class Municipality,0.016,Isabela,19000000
Cordova,Third Class Municipality,0.029,Cebu Province,283189876.7
Corella,Fifth Class Municipality,0.005,Bohol,13393174.95
Coron,First Class Municipality,0.098,Palawan,486360846.9
Cortes (BL),Fifth Class Municipality,0.017,Bohol,106123500
Cortes (SS),Fourth Class Municipality,0.019,Surigao Del Sur,6326820.27
Cotabato,Component City,0.339,Maguindanao,1837355674
Cuartero,Fourth Class Municipality,0.058,Capiz,166682983.3
Cuenca,Fourth Class Municipality,0.011,Batangas Province,184136837.9
Culaba,Fifth Class Municipality,0.039,Biliran Province,3383994.27
Culasi,Third Class Municipality,0.038,Antique,15223240.13
Culion,Third Class Municipality,0.012,Palawan,4561185.55
Currimao,Fourth Class Municipality,0.024,Ilocos Norte,189399715.5
Cuyapo,First Class Municipality,0.018,Nueva Ecija,29041906.17
Cuyo,Fourth Class Municipality,0.035,Palawan,158566925.2
Daan Bantayan,First Class Municipality,0.018,Cebu Province,48267844.01
Daet,First Class Municipality,0.15,Camarines Norte,128745650.8
Dagami,Third Class Municipality,0.011,Leyte Province,6424256.5
Dagohoy,Fifth Class Municipality,0.02,Bohol,133680000.4
Daguioman,Fifth Class Municipality,0.018,Abra,91969073.07
Dagupan,Component City,0.071,Pangasinan,1354864564
Dalaguete,First Class Municipality,0.031,Cebu Province,315986308
Damulog,Fourth Class Municipality,0.012,Bukidnon,6960918.09
Danao (BL),Fourth Class Municipality,0.023,Bohol,168242524.9
Danao (CU),Component City,0.036,Cebu Province,223823081.6
Dangcagan,Third Class Municipality,0.045,Bukidnon,259022305.1
Danglas,Fifth Class Municipality,0.025,Abra,109335223.3
Dao,Fourth Class Municipality,0.023,Capiz,8667669.47
Dapa,Fourth Class Municipality,0.041,Surigao Del Norte,39210776.72
Dapitan,Component City,0.205,Zamboanga Del Norte,1182935755
Daraga,First Class Municipality,0.065,Albay,191523703.4
Daram,Third Class Municipality,0.029,Samar (Western Samar),7938180.58
Dasmarinas,Component City,0.176,Cavite,3788372700
Dasol,Third Class Municipality,0.011,Pangasinan,199696059.5
Datu Abdullah Sangki,Sixth Class Municipality,0.01,Maguindanao,4109196.87
Datu Anggal Midtimbang,Sixth Class Municipality,0.009,Maguindanao,217714.52
Datu Blah Sinsuat,Sixth Class Municipality,0.009,Maguindanao,682395.96
Datu Hoffer Ampatuan,Sixth Class Municipality,0.008,Maguindanao,1024003.61
Datu Odin Sinsuat,First Class Municipality,0.037,Maguindanao,11533687.14
Datu Paglas,Fourth Class Municipality,0.011,Maguindanao,6032867.34
Datu Piang,Second Class Municipality,0.009,Maguindanao,3687078.35
